,OSL weight,seed,OSL Margin,beam,BLEU,BLEURT,PPL,NLL,Abrupted,OS rate,OS loss,Target Empty WR,Generated Empty WR,|T|/|G| mean,LR seq,|T|/|G| med,T False EOS R avg,T True EOS R avg,T Term LL Avg,T NTerm LL Avg
18,0.6000000000000001,4872,0.0001,250,17.595,0.0,8.49,3.086,11.65,0.546,28809.634,0.131,0.801,1.243,1.243,1.167,4136.383,1.066,-0.044,-14.737
19,0.9,4872,0.0001,250,17.747,0.0,8.52,3.09,11.475,0.343,20624.25,0.377,0.993,1.228,1.228,1.167,7286.864,3.669,-0.06,-27.774
20,0.55,2421,0.0001,250,17.436,0.0,8.36,3.063,11.744,0.542,28716.539,0.137,0.797,1.259,1.259,1.167,3767.432,1.071,-0.04,-14.663
21,0.1,4872,0.0001,250,17.627,0.0,8.49,3.086,11.662,0.566,29552.657,0.114,0.753,1.251,1.251,1.167,2741.403,1.055,-0.042,-13.714
22,0.95,6765,0.0001,250,17.77,0.0,8.49,3.085,11.37,0.147,10929.725,0.71,1.0,1.23,1.23,1.167,7332.502,8.48,-0.076,-51.029
23,0.35,9361,0.0001,250,18.129,0.0,8.65,3.113,11.662,0.548,29525.398,0.127,0.825,1.224,1.224,1.146,3405.047,1.072,-0.049,-14.525
24,0.8500000000000001,6765,0.0001,250,17.765,0.0,8.43,3.076,11.311,0.442,24928.352,0.246,0.956,1.226,1.226,1.159,7028.394,1.143,-0.055,-20.476
25,0.75,2804,0.0001,250,17.864,0.0,8.24,3.042,11.323,0.519,27563.846,0.165,0.866,1.243,1.243,1.167,5482.606,1.051,-0.038,-15.868
26,0.65,4872,0.0001,250,17.615,0.0,8.49,3.086,11.615,0.542,28622.74,0.134,0.813,1.242,1.242,1.167,4480.178,1.069,-0.044,-14.999
27,0.45,4872,0.0001,250,17.599,0.0,8.49,3.086,11.627,0.556,29172.135,0.122,0.778,1.246,1.246,1.167,3448.604,1.06,-0.043,-14.234
28,0.05,4872,0.0001,250,17.583,0.0,8.49,3.085,11.709,0.566,29584.37,0.113,0.751,1.252,1.252,1.167,2686.568,1.055,-0.042,-13.672
29,1.0,6765,0.0001,250,17.75,0.0,10.79,3.432,11.767,0.031,4276.161,0.929,1.0,1.049,1.049,1.042,7355.658,540.76,-2.926,-99.4
