,seed,beam,OSL weight,OSL Margin,BLEU,BLEURT,PPL,NLL,Abrupted,OS rate,OS loss,Target Empty WR,Generated Empty WR,|T|/|G| mean,LR seq,|T|/|G| med,T False EOS R avg,T True EOS R avg,T Term LL Avg,T NTerm LL Avg
1,9361,500,0.8,0.0001,39.494,0.0,3.94,1.979,12.097,0.305,14586.323,0.432,0.996,1.091,1.091,1.053,6985.542,1.012,-0.013,-20.053
2,2804,500,0.1,0.0001,39.238,0.0,3.96,1.984,12.074,0.396,17783.619,0.288,0.957,1.128,1.128,1.053,2923.689,1.009,-0.013,-14.754
3,2421,500,0.3,0.0001,39.65,0.0,4.09,2.033,12.225,0.385,17998.437,0.304,0.979,1.105,1.105,1.05,4048.252,1.015,-0.017,-15.63
4,2804,500,0.5,0.0001,39.35,0.0,3.96,1.984,11.969,0.371,16925.876,0.317,0.972,1.107,1.107,1.053,4800.453,1.01,-0.014,-16.14
5,2421,500,0.8,0.0001,39.738,0.0,4.1,2.036,12.144,0.298,14851.342,0.44,0.999,1.09,1.09,1.053,7067.749,1.028,-0.019,-21.194
6,2421,500,0.8500000000000001,0.0001,39.859,0.0,4.1,2.037,12.19,0.257,13247.63,0.509,1.0,1.087,1.087,1.05,7224.712,1.045,-0.022,-24.43
7,6765,500,0.1,0.0001,39.257,0.0,3.98,1.991,12.097,0.396,17806.293,0.281,0.956,1.111,1.111,1.053,3157.463,1.017,-0.012,-14.811
8,9361,500,0.05,0.0001,39.183,0.0,3.94,1.978,12.26,0.401,17914.299,0.295,0.964,1.138,1.138,1.056,2309.044,1.008,-0.012,-14.325
9,2804,500,0.6000000000000001,0.0001,39.383,0.0,3.96,1.984,11.969,0.357,16461.38,0.334,0.98,1.103,1.103,1.053,5601.526,1.011,-0.014,-16.916
10,9361,500,0.95,0.0001,39.562,0.0,3.96,1.984,12.202,0.1,5951.73,0.816,1.0,1.092,1.092,1.059,7342.726,2.12,-0.018,-43.39
11,9361,500,0.5,0.0001,39.306,0.0,3.94,1.978,12.167,0.378,17134.391,0.328,0.977,1.111,1.111,1.056,4193.182,1.008,-0.012,-15.564
12,2804,500,1.0,0.0001,37.935,0.0,4.88,2.286,12.004,0.014,1667.338,0.963,1.0,1.026,1.026,1.0,7366.666,262.287,-1.615,-89.843
13,6765,500,0.05,0.0001,39.238,0.0,3.98,1.991,12.086,0.398,17855.927,0.28,0.955,1.111,1.111,1.053,3047.167,1.018,-0.012,-14.734
14,9361,500,0.3,0.0001,39.282,0.0,3.94,1.978,12.202,0.391,17600.715,0.309,0.97,1.118,1.118,1.056,3026.273,1.008,-0.012,-14.816
15,4872,500,0.0,0.0001,39.27,0.0,3.97,1.988,12.458,0.399,17989.013,0.29,0.962,1.171,1.171,1.05,2845.874,1.009,-0.013,-14.596
16,4872,500,0.35,0.0001,39.542,0.0,3.97,1.988,12.248,0.385,17540.232,0.308,0.969,1.105,1.105,1.05,3851.586,1.009,-0.013,-15.304
17,2421,500,0.05,0.0001,39.601,0.0,4.09,2.033,12.272,0.395,18344.282,0.291,0.974,1.125,1.125,1.05,3279.557,1.014,-0.017,-15.088
18,4872,500,0.6000000000000001,0.0001,39.612,0.0,3.97,1.988,12.202,0.363,16783.72,0.34,0.981,1.093,1.093,1.049,5440.132,1.01,-0.013,-16.535
19,4872,500,0.9,0.0001,39.781,0.0,3.98,1.992,12.167,0.206,10960.885,0.616,1.0,1.087,1.087,1.05,7318.601,1.043,-0.017,-28.333
20,2421,500,0.55,0.0001,39.745,0.0,4.09,2.033,12.202,0.366,17300.672,0.331,0.988,1.096,1.096,1.05,5431.143,1.018,-0.018,-16.762
21,4872,500,0.1,0.0001,39.38,0.0,3.97,1.988,12.353,0.396,17895.438,0.294,0.964,1.148,1.148,1.05,3047.5,1.009,-0.013,-14.742
22,6765,500,0.95,0.0001,39.568,0.0,3.99,1.996,12.167,0.107,6293.342,0.783,1.0,1.084,1.084,1.053,7340.16,3.595,-0.018,-42.133
23,9361,500,0.35,0.0001,39.266,0.0,3.94,1.978,12.202,0.389,17510.326,0.312,0.972,1.118,1.118,1.056,3249.322,1.007,-0.012,-14.96
24,6765,500,0.8500000000000001,0.0001,39.602,0.0,3.98,1.992,12.121,0.256,12829.626,0.488,0.999,1.085,1.085,1.053,7248.769,1.153,-0.015,-23.883
25,2804,500,0.75,0.0001,39.315,0.0,3.96,1.985,12.027,0.313,14896.621,0.404,0.993,1.093,1.093,1.056,6874.385,1.014,-0.014,-19.712
26,4872,500,0.65,0.0001,39.631,0.0,3.97,1.988,12.19,0.356,16518.104,0.351,0.984,1.092,1.092,1.05,5866.519,1.01,-0.013,-16.978
27,4872,500,0.45,0.0001,39.579,0.0,3.97,1.988,12.214,0.379,17312.954,0.318,0.973,1.099,1.099,1.05,4363.76,1.01,-0.013,-15.669
28,4872,500,0.05,0.0001,39.329,0.0,3.97,1.988,12.388,0.397,17946.145,0.292,0.963,1.154,1.154,1.05,2938.37,1.009,-0.013,-14.664
29,6765,500,1.0,0.0001,36.824,0.0,5.57,2.477,12.202,0.014,1580.384,0.966,1.0,0.954,0.954,1.0,7366.972,1361.521,-5.424,-89.736
30,2421,500,0.25,0.0001,39.647,0.0,4.09,2.033,12.225,0.388,18085.14,0.301,0.978,1.106,1.106,1.05,3854.704,1.015,-0.017,-15.492
31,2804,500,0.8500000000000001,0.0001,39.448,0.0,3.96,1.985,11.993,0.243,12310.856,0.524,0.999,1.091,1.091,1.056,7261.306,1.311,-0.015,-24.953
