,OSL weight,OSL Margin,beam,seed,BLEU,BLEURT,PPL,NLL,Abrupted,OS rate,OS loss,Target Empty WR,Generated Empty WR,|T|/|G| mean,LR seq,|T|/|G| med,T False EOS R avg,T True EOS R avg,T Term LL Avg,T NTerm LL Avg
70,0.8500000000000001,0.0001,250,9361,39.68,0.0,3.95,1.981,12.144,0.258,12865.648,0.516,0.999,1.086,1.086,1.053,7221.491,1.022,-0.015,-23.546
71,0.65,0.0001,250,2804,39.35,0.0,3.96,1.984,12.039,0.343,15967.091,0.356,0.985,1.092,1.092,1.056,6163.065,1.01,-0.013,-17.782
72,0.7000000000000001,0.0001,250,6765,39.473,0.0,3.98,1.992,12.039,0.347,16097.134,0.346,0.983,1.086,1.086,1.051,6315.328,1.028,-0.013,-17.617
73,0.95,0.0001,250,4872,39.782,0.0,3.99,1.996,12.26,0.105,6232.636,0.808,1.0,1.087,1.087,1.05,7345.6,2.489,-0.018,-42.733
74,0.35,0.0001,250,2804,39.368,0.0,3.96,1.984,11.946,0.384,17367.216,0.304,0.963,1.104,1.104,1.053,3865.472,1.01,-0.013,-15.42
75,0.45,0.0001,250,2421,39.786,0.0,4.09,2.033,12.19,0.376,17651.661,0.316,0.983,1.094,1.094,1.05,4787.098,1.016,-0.018,-16.187
76,0.75,0.0001,250,2421,39.913,0.0,4.1,2.034,12.121,0.325,15825.827,0.392,0.997,1.084,1.084,1.048,6816.137,1.026,-0.019,-19.312
77,0.15,0.0001,250,9361,39.347,0.0,3.94,1.978,12.202,0.397,17809.823,0.3,0.964,1.109,1.109,1.056,2536.01,1.007,-0.012,-14.488
78,0.45,0.0001,250,9361,39.412,0.0,3.94,1.978,12.155,0.382,17281.427,0.321,0.974,1.101,1.101,1.056,3826.713,1.008,-0.012,-15.326
79,0.3,0.0001,250,2804,39.357,0.0,3.96,1.984,11.981,0.387,17471.874,0.299,0.961,1.105,1.105,1.053,3623.283,1.009,-0.013,-15.248
80,0.35,0.0001,250,2421,39.743,0.0,4.09,2.033,12.19,0.382,17900.46,0.307,0.98,1.096,1.096,1.05,4267.655,1.015,-0.017,-15.789
81,0.9,0.0001,250,9361,39.666,0.0,3.95,1.981,12.132,0.203,10711.129,0.625,1.0,1.086,1.086,1.053,7310.257,1.046,-0.016,-28.444
82,0.0,0.0001,250,6765,39.353,0.0,3.98,1.991,12.097,0.399,17895.828,0.279,0.953,1.103,1.103,1.051,2955.401,1.017,-0.012,-14.669
83,0.05,0.0001,250,2804,39.303,0.0,3.96,1.984,12.004,0.398,17841.364,0.286,0.955,1.112,1.112,1.053,2799.23,1.009,-0.013,-14.663
