,beam,OSL Margin,OSL weight,seed,BLEU,BLEURT,PPL,NLL,Abrupted,OS rate,OS loss,Target Empty WR,Generated Empty WR,|T|/|G| mean,LR seq,|T|/|G| med,T False EOS R avg,T True EOS R avg,T Term LL Avg,T NTerm LL Avg
96,100,0.0001,0.95,2804,34.058,0.0,5.04,2.334,12.118,0.137,8354.81,0.747,1.0,1.113,1.113,1.077,7308.098,4.996,-0.027,-41.574
97,100,0.0001,0.6000000000000001,9361,33.837,0.0,5.03,2.331,12.019,0.414,19357.3,0.283,0.967,1.118,1.118,1.079,5124.85,1.038,-0.015,-16.019
98,100,0.0001,1.0,4872,33.118,0.0,6.08,2.605,11.969,0.025,2918.216,0.941,1.0,1.011,1.011,1.0,7334.123,564.792,-2.368,-83.536
99,100,0.0001,0.15,4872,33.616,0.0,4.98,2.317,12.242,0.447,20352.18,0.226,0.911,1.153,1.153,1.091,2745.407,1.017,-0.014,-14.142
100,100,0.0001,0.15,2804,33.941,0.0,5.02,2.328,12.18,0.436,20208.817,0.253,0.945,1.122,1.122,1.077,3171.914,1.024,-0.015,-14.712
101,100,0.0001,0.8500000000000001,4872,33.994,0.0,4.98,2.317,12.143,0.293,15025.42,0.439,0.997,1.118,1.118,1.083,7187.89,1.839,-0.018,-23.869
102,100,0.0001,0.0,9361,33.783,0.0,5.03,2.331,12.068,0.439,20194.081,0.25,0.947,1.141,1.141,1.079,3264.037,1.02,-0.015,-14.65
103,100,0.0001,0.9,6765,34.111,0.0,5.03,2.331,12.105,0.252,13609.968,0.536,0.999,1.113,1.113,1.077,7289.354,2.181,-0.019,-27.516
104,100,0.0001,0.4,2804,33.957,0.0,5.02,2.328,12.18,0.426,19845.628,0.265,0.954,1.121,1.121,1.077,3993.973,1.03,-0.016,-15.302
105,100,0.0001,0.25,4872,33.763,0.0,4.98,2.315,12.254,0.433,19949.907,0.24,0.93,1.138,1.138,1.083,3142.719,1.02,-0.015,-14.811
