,OSL weight,beam,OSL Margin,seed,BLEU,BLEURT,PPL,NLL,Abrupted,OS rate,OS loss,Target Empty WR,Generated Empty WR,|T|/|G| mean,LR seq,|T|/|G| med,T False EOS R avg,T True EOS R avg,T Term LL Avg,T NTerm LL Avg
37,0.2,750,0.0001,9361,33.333,0.0,5.03,2.331,12.204,0.435,20047.7,0.255,0.953,1.199,1.199,1.083,3596.728,1.023,-0.015,-14.883
38,0.1,750,0.0001,9361,33.302,0.0,5.03,2.331,12.266,0.437,20130.312,0.252,0.952,1.209,1.209,1.083,3407.483,1.022,-0.015,-14.751
39,0.75,750,0.0001,6765,33.963,0.0,5.01,2.325,12.118,0.371,18004.469,0.339,0.987,1.116,1.116,1.074,6706.455,1.664,-0.017,-18.533
40,0.25,750,0.0001,2804,33.523,0.0,5.02,2.328,12.44,0.433,20093.502,0.257,0.954,1.21,1.21,1.083,3432.009,1.026,-0.015,-14.899
41,0.55,750,0.0001,4872,33.545,0.0,4.98,2.315,12.254,0.411,19204.72,0.265,0.955,1.153,1.153,1.091,4740.007,1.027,-0.015,-16.039
42,0.65,750,0.0001,9361,33.543,0.0,5.03,2.331,12.056,0.409,19168.879,0.29,0.975,1.148,1.148,1.083,5469.965,1.042,-0.015,-16.332
43,0.45,750,0.0001,2804,33.69,0.0,5.02,2.328,12.242,0.423,19733.519,0.269,0.96,1.157,1.157,1.083,4243.016,1.036,-0.016,-15.483
44,0.4,750,0.0001,4872,33.491,0.0,4.98,2.315,12.279,0.425,19664.922,0.25,0.941,1.158,1.158,1.091,3780.251,1.021,-0.015,-15.275
45,0.8,750,0.0001,4872,33.814,0.0,4.98,2.316,12.143,0.33,16372.646,0.374,0.991,1.129,1.129,1.087,7013.543,1.223,-0.017,-21.159
46,0.9,750,0.0001,2804,33.994,0.0,5.03,2.332,12.242,0.231,12701.2,0.562,1.0,1.12,1.12,1.079,7275.966,3.86,-0.021,-29.493
47,0.3,750,0.0001,6765,33.563,0.0,4.99,2.319,12.526,0.431,19991.36,0.256,0.952,1.239,1.239,1.077,3751.334,1.043,-0.014,-15.018
48,1.0,750,0.0001,9361,32.901,0.0,5.77,2.529,12.081,0.023,2722.759,0.952,1.0,1.039,1.039,1.026,7334.055,251.86,-1.431,-86.354
49,0.5,750,0.0001,6765,33.783,0.0,4.99,2.32,12.291,0.421,19640.819,0.27,0.96,1.153,1.153,1.077,4564.967,1.068,-0.014,-15.597
50,0.25,750,0.0001,6765,33.496,0.0,4.99,2.319,12.563,0.433,20053.371,0.253,0.95,1.256,1.256,1.077,3611.805,1.038,-0.014,-14.922
51,0.55,750,0.0001,2804,33.762,0.0,5.02,2.328,12.229,0.414,19443.555,0.279,0.966,1.144,1.144,1.083,4860.536,1.046,-0.016,-15.962
52,0.2,750,0.0001,2421,33.488,0.0,4.97,2.313,12.242,0.429,19908.262,0.255,0.946,1.153,1.153,1.083,3606.405,1.223,-0.015,-15.025
53,0.4,750,0.0001,2421,33.559,0.0,4.97,2.313,12.242,0.421,19617.682,0.265,0.954,1.143,1.143,1.083,4269.392,1.348,-0.015,-15.497
54,0.35,750,0.0001,6765,33.608,0.0,4.99,2.319,12.477,0.429,19923.98,0.259,0.953,1.216,1.216,1.077,3911.249,1.046,-0.014,-15.13
55,0.6000000000000001,750,0.0001,6765,33.809,0.0,4.99,2.32,12.242,0.411,19335.954,0.282,0.966,1.145,1.145,1.077,5206.557,1.106,-0.014,-16.099
56,0.7000000000000001,750,0.0001,4872,33.769,0.0,4.98,2.316,12.105,0.371,17851.974,0.314,0.978,1.132,1.132,1.088,6378.579,1.055,-0.016,-18.396
57,0.2,750,0.0001,2804,33.498,0.0,5.02,2.328,12.464,0.435,20154.922,0.255,0.952,1.221,1.221,1.083,3294.345,1.025,-0.015,-14.801
58,0.3,750,0.0001,4872,33.397,0.0,4.98,2.315,12.39,0.431,19866.91,0.243,0.935,1.19,1.19,1.091,3328.585,1.02,-0.015,-14.945
59,0.5,750,0.0001,2421,33.567,0.0,4.97,2.313,12.229,0.415,19390.859,0.275,0.96,1.14,1.14,1.083,4764.267,1.478,-0.015,-15.872
60,0.6000000000000001,750,0.0001,2421,33.598,0.0,4.97,2.314,12.18,0.405,19056.962,0.289,0.968,1.133,1.133,1.083,5405.361,1.642,-0.015,-16.43
61,0.7000000000000001,750,0.0001,9361,33.554,0.0,5.03,2.332,12.031,0.401,18928.896,0.301,0.978,1.141,1.141,1.083,5851.222,1.055,-0.016,-16.741
62,0.5,750,0.0001,4872,33.512,0.0,4.98,2.315,12.266,0.417,19386.332,0.258,0.949,1.155,1.155,1.091,4377.896,1.024,-0.015,-15.735
63,0.15,750,0.0001,2421,33.468,0.0,4.97,2.313,12.266,0.431,19960.129,0.252,0.944,1.156,1.156,1.083,3486.894,1.203,-0.015,-14.941
64,0.95,750,0.0001,2421,33.929,0.0,4.99,2.32,12.143,0.14,8514.785,0.739,1.0,1.12,1.12,1.08,7312.814,4.123,-0.021,-40.843
65,0.4,750,0.0001,6765,33.716,0.0,4.99,2.319,12.403,0.426,19843.905,0.262,0.955,1.185,1.185,1.077,4098.89,1.051,-0.014,-15.262
66,0.9,750,0.0001,2421,33.902,0.0,4.99,2.319,12.13,0.231,12676.845,0.563,1.0,1.12,1.12,1.079,7290.031,1.997,-0.018,-29.376
67,0.75,750,0.0001,9361,33.935,0.0,5.03,2.332,12.031,0.376,18051.335,0.331,0.987,1.117,1.117,1.077,6557.536,1.118,-0.019,-18.303
68,0.4,750,0.0001,9361,33.417,0.0,5.03,2.331,12.143,0.428,19812.4,0.264,0.96,1.168,1.168,1.083,4141.384,1.027,-0.015,-15.265
69,0.8500000000000001,750,0.0001,9361,33.928,0.0,5.05,2.335,12.056,0.31,15719.748,0.436,0.998,1.116,1.116,1.077,7184.429,1.846,-0.019,-22.816
70,0.65,750,0.0001,2804,33.928,0.0,5.02,2.328,12.18,0.39,18622.849,0.308,0.976,1.137,1.137,1.08,5937.647,1.154,-0.016,-17.385
71,0.7000000000000001,750,0.0001,6765,33.964,0.0,5.01,2.325,12.118,0.384,18456.746,0.32,0.982,1.117,1.117,1.074,6359.526,1.437,-0.016,-17.733
