,OSL Margin,seed,beam,OSL weight,BLEU,BLEURT,PPL,NLL,Abrupted,OS rate,OS loss,Target Empty WR,Generated Empty WR,|T|/|G| mean,LR seq,|T|/|G| med,T False EOS R avg,T True EOS R avg,T Term LL Avg,T NTerm LL Avg
80,0.0001,2421,1000,0.35,33.475,0.0,4.97,2.313,12.229,0.424,19709.785,0.262,0.953,1.147,1.147,1.083,4066.588,1.305,-0.015,-15.35
81,0.0001,9361,1000,0.9,33.906,0.0,5.05,2.336,12.044,0.262,13890.328,0.522,1.0,1.117,1.117,1.077,7276.785,2.098,-0.021,-26.662
82,0.0001,6765,1000,0.0,32.794,0.0,4.99,2.319,13.269,0.439,20267.212,0.245,0.948,1.458,1.458,1.077,3127.77,1.03,-0.014,-14.58
83,0.0001,2804,1000,0.05,33.126,0.0,5.02,2.328,12.836,0.439,20304.58,0.249,0.951,1.345,1.345,1.083,2966.827,1.022,-0.015,-14.562
84,0.0001,9361,1000,0.25,33.25,0.0,5.03,2.331,12.279,0.433,20001.395,0.256,0.955,1.217,1.217,1.083,3706.363,1.024,-0.015,-14.96
85,0.0001,6765,1000,0.45,33.672,0.0,4.99,2.32,12.403,0.423,19750.828,0.267,0.958,1.192,1.192,1.077,4312.251,1.061,-0.014,-15.414
86,0.0001,9361,1000,0.55,33.431,0.0,5.03,2.331,12.105,0.419,19504.645,0.277,0.966,1.163,1.163,1.083,4820.101,1.035,-0.015,-15.77
87,0.0001,6765,1000,0.65,33.941,0.0,5.01,2.325,12.13,0.394,18797.255,0.305,0.979,1.124,1.124,1.074,5978.186,1.271,-0.016,-17.145
88,0.0001,2421,1000,0.7000000000000001,33.594,0.0,4.97,2.314,12.155,0.389,18523.874,0.31,0.976,1.13,1.13,1.083,6160.209,1.815,-0.016,-17.339
89,0.0001,6765,1000,0.15,32.984,0.0,4.99,2.319,13.071,0.436,20152.759,0.25,0.95,1.4,1.4,1.079,3384.712,1.034,-0.014,-14.763
90,0.0001,6765,1000,0.2,33.126,0.0,4.99,2.319,12.91,0.435,20109.647,0.251,0.95,1.362,1.362,1.077,3488.021,1.036,-0.014,-14.835
91,0.0001,2421,1000,0.65,33.553,0.0,4.97,2.314,12.167,0.398,18824.402,0.298,0.972,1.134,1.134,1.083,5774.952,1.735,-0.015,-16.822
92,0.0001,4872,1000,0.2,33.151,0.0,4.98,2.315,12.588,0.436,20022.572,0.237,0.932,1.265,1.265,1.091,2983.183,1.019,-0.015,-14.695
93,0.0001,2421,1000,0.1,33.367,0.0,4.97,2.313,12.266,0.432,20005.669,0.25,0.942,1.172,1.172,1.083,3381.362,1.191,-0.015,-14.867
94,0.0001,6765,1000,0.8,33.883,0.0,5.0,2.321,12.155,0.372,17976.266,0.342,0.986,1.123,1.123,1.077,6783.015,1.688,-0.016,-18.437
95,0.0001,2421,1000,1.0,32.808,0.0,5.73,2.519,11.957,0.029,3359.078,0.934,1.0,1.049,1.049,1.04,7333.871,325.374,-1.447,-78.479
96,0.0001,2804,1000,0.95,33.971,0.0,5.04,2.334,12.192,0.137,8354.81,0.747,1.0,1.124,1.124,1.08,7308.098,4.996,-0.027,-41.574
97,0.0001,9361,1000,0.6000000000000001,33.451,0.0,5.03,2.331,12.093,0.414,19357.3,0.283,0.97,1.154,1.154,1.083,5124.85,1.038,-0.015,-16.019
98,0.0001,4872,1000,1.0,32.998,0.0,6.08,2.605,11.969,0.025,2918.216,0.941,1.0,1.025,1.025,1.026,7334.123,564.792,-2.368,-83.536
99,0.0001,4872,1000,0.15,32.648,0.0,4.98,2.317,12.836,0.447,20352.18,0.226,0.918,1.355,1.355,1.097,2745.407,1.017,-0.014,-14.142
100,0.0001,2804,1000,0.15,33.267,0.0,5.02,2.328,12.65,0.436,20208.817,0.253,0.954,1.298,1.298,1.083,3171.914,1.024,-0.015,-14.712
101,0.0001,4872,1000,0.8500000000000001,33.825,0.0,4.98,2.317,12.143,0.293,15025.42,0.439,0.997,1.125,1.125,1.088,7187.89,1.839,-0.018,-23.869
102,0.0001,9361,1000,0.0,32.962,0.0,5.03,2.331,12.526,0.439,20194.081,0.25,0.952,1.288,1.288,1.083,3264.037,1.02,-0.015,-14.65
103,0.0001,6765,1000,0.9,34.028,0.0,5.03,2.331,12.105,0.252,13609.968,0.536,1.0,1.12,1.12,1.077,7289.354,2.181,-0.019,-27.516
104,0.0001,2804,1000,0.4,33.549,0.0,5.02,2.328,12.365,0.426,19845.628,0.265,0.959,1.2,1.2,1.083,3993.973,1.03,-0.016,-15.302
105,0.0001,4872,1000,0.25,33.204,0.0,4.98,2.315,12.489,0.433,19949.907,0.24,0.934,1.235,1.235,1.091,3142.719,1.02,-0.015,-14.811
